class_id,class_name,pixel_count,pct
0,Background,506141,30.286661783854168
1,Meadow,296576,17.746629901960784
2,Soft winter wheat,199108,11.914301853553921
3,Corn,196704,11.77045036764706
4,Winter barley,57381,3.4335865693933822
5,Winter rapeseed,92912,5.559704350490196
6,Spring barley,3472,0.20775888480392157
7,Sunflower,9579,0.5731919232536764
8,Grapevine,1345,0.08048263250612744
10,Winter triticale,15215,0.9104410807291666
11,Winter durum wheat,725,0.04338283164828431
12,"Fruits, vegetables, flowers",3229,0.19321815640318626
13,Potatoes,158,0.009454465379901961
14,Leguminous fodder,12634,0.7559982000612745
15,Soybeans,121560,7.27395450367647
16,Orchard,75,0.004487879136029412
17,Mixed cereal,5220,0.3123563878676471
18,Sorghum,5047,0.3020043466605392
19,Void,144087,8.621933880974264
