class_id,class_name,n_pixels,amplitude,r2,n_cloud_rejected,sos_date,peak_date,eos_date,season_length_days,integral
4,Winter barley,57381,0.2504359618895537,0.6456715553664775,0,2019-02-01,2019-04-13,2019-06-09,128.07616802937596,79.4151023059819
1,Meadow,296576,0.1396490713513549,0.6328845694403582,7,2019-02-13,2019-05-03,2019-08-22,189.4642140410725,59.4076717144242
2,Soft winter wheat,199108,0.2830333115075526,0.7528207056978335,1,2019-02-20,2019-05-03,2019-06-27,126.77112156734725,92.42157302574351
5,Winter rapeseed,92912,0.20928033257477016,0.6880947723018184,3,2019-01-30,2019-05-03,2019-06-24,145.0936491106101,106.04995820469263
10,Winter triticale,15215,0.23986261973942974,0.833538094430996,5,2019-02-21,2019-05-03,2019-06-24,122.9938247476247,73.64471101918552
17,Mixed cereal,5220,0.20547060618644533,0.4959836692339942,0,2019-02-21,2019-05-03,2019-07-06,134.7048025175284,68.9698350345505
14,Leguminous fodder,12634,0.15735136080578607,0.6186399105316458,5,2019-02-18,2019-05-13,2019-09-14,207.38419779713956,69.28517806022735
6,Spring barley,3472,0.18894793173998006,0.6157187486373752,3,2019-04-03,2019-06-02,2019-08-04,122.71196975836432,62.41924149265206
12,"Fruits, vegetables, flowers",3229,0.07506413690810312,0.8874415413585767,11,2019-04-23,2019-06-17,2019-08-19,118.0252001998279,52.82563636085154
7,Sunflower,9579,0.17864115311484433,0.7885338076257082,2,2019-05-24,2019-07-17,2019-09-08,106.3477985726885,71.81551595117845
3,Corn,196704,0.14412930823702125,0.7063687923728945,2,2019-06-21,2019-08-11,2019-10-01,102.74925035922462,80.46339744059553
15,Soybeans,121560,0.1674198127008466,0.7009443370488107,2,2019-06-13,2019-08-11,2019-09-28,107.06004963612156,84.75978294549978
18,Sorghum,5047,0.09962425919696069,0.4212306395996408,2,2019-02-03,2019-08-11,2019-10-03,242.66870851956142,72.65033640063947
